setting,dataset,sample_id,candidate,psnr,ssim,vccrp
structure_only,kligler,natiCHW02_04,docres_input_blend_0.70,15.848758707702462,0.902313232421875,0.14932178275866637
structure_only,kligler,natiCHW02_05,classical_shadow_0.40,18.072012064642976,0.8967666625976562,0.19521551810518745
structure_only,kligler,natiCHW03_05,docres_classical040_blend_0.95,34.2856115172184,0.9569035768508911,0.3526254121542106
structure_only,kligler,natiCHW04_03,docres_classical040_blend_0.95,33.19073453275495,0.969333291053772,0.5408180906766427
structure_only,kligler,natiCHW04_05,docres_classical040_blend_0.95,29.98067291178124,0.9596495032310486,0.368858014253851
structure_only,kligler,natiCHW04_12,docres_classical040_blend_0.95,32.27306224777869,0.9637583494186401,0.3872786930279828
structure_only,kligler,natiCPO01_02,classical_shadow_0.40,21.247716496659482,0.9464111924171448,0.27283128348494945
structure_only,kligler,natiCPO02_02,docres_classical040_blend_0.95,28.980734308447488,0.9796654582023621,0.17868414665082655
structure_only,kligler,natiCPO03_01,docres_classical040_blend_0.95,33.18407289816069,0.9673749804496765,0.20438422248857147
structure_only,kligler,natiCPO03_09,docres_classical040_blend_0.85,32.65403924837258,0.963334858417511,0.22481258164597495
structure_only,kligler,natiCPO04_04,docres_classical040_blend_0.95,31.39565433080682,0.9597483277320862,0.19839782347039903
structure_only,kligler,natiCPO04_08,docres_classical040_blend_0.95,31.552190811018313,0.9613658785820007,0.20417661459693282
structure_only,kligler,natiCPO05_01,docres_classical040_blend_0.85,28.083885190437357,0.9665718674659729,0.19983886284349772
structure_only,kligler,natiCPO06_04,docres_classical040_blend_0.85,30.805167950709098,0.965350866317749,0.10251115904708008
structure_only,kligler,natiCPO06_05,docres_classical040_blend_0.95,25.7033714222945,0.9565160274505615,0.15740481307688414
structure_only,kligler,natiCPO06_06,docres_classical040_blend_0.80,26.635119706299363,0.961273729801178,0.1273140226151236
structure_only,kligler,natiCPO06_10,docres_classical040_blend_0.95,27.359290669049976,0.9248967170715332,0.19191080538512895
structure_only,kligler,natiCPO07_03,docres_classical040_blend_0.95,27.35785296288693,0.9483636617660522,0.44253617671582113
structure_only,kligler,natiCPO07_09,docres_classical040_blend_0.95,29.43834179771857,0.9141252636909485,0.3158452764216202
structure_only,kligler,natiCPO07_12,docres_classical040_blend_0.90,30.00378372970205,0.9297209978103638,0.24059930571019184
structure_only,kligler,natiCPO08_01,docres_classical040_blend_0.95,26.340600435017624,0.9715269804000854,0.09662294877093636
structure_only,kligler,natiCPO08_02,docres_classical040_blend_0.70,28.631450980806523,0.9765697717666626,0.06170951610240183
structure_only,kligler,natiCPO08_05,docres_classical040_blend_0.95,27.257918696677017,0.9725526571273804,0.10588235296922721
structure_only,kligler,natiCPO08_06,docres_classical040_blend_0.90,27.154784808039523,0.961370050907135,0.10440216028936189
structure_only,kligler,natiCPR01_01,docres_classical040_blend_0.70,26.27770017030255,0.9685094356536865,0.058924080021027
structure_only,kligler,natiCPR01_10,docres_classical040_blend_0.70,26.694305538810355,0.9474167227745056,0.05319974773050318
structure_only,kligler,natiCPR01_11,docres_classical040_blend_0.70,25.857590942291793,0.9345479011535645,0.043712779482482866
structure_only,kligler,natiCPR01_14,docres_classical040_blend_0.70,25.595896498472,0.9334339499473572,0.043893269559263426
structure_only,kligler,natiCPR02_10,docres_classical040_blend_0.95,27.67294936610936,0.9402205944061279,0.15304539173546294
structure_only,kligler,natiCPR02_12,docres_classical040_blend_0.95,26.815077003880706,0.9393082857131958,0.1569728920244009
structure_only,kligler,natiCPR03_07,docres_classical040_blend_0.85,29.891901034756224,0.9646561741828918,0.10402014178309238
structure_only,kligler,natiCPR03_09,docres_classical040_blend_0.95,27.176822890621636,0.9673387408256531,0.1409923810278546
structure_only,kligler,natiCPR03_11,docres_classical040_blend_0.95,28.71553764773747,0.9630534648895264,0.14835678173366795
structure_only,kligler,natiCPR04_06,docres_classical040_blend_0.95,30.812931533139466,0.9552860856056213,0.23251488100948547
structure_only,kligler,natiCPR04_09,docres_classical040_blend_0.95,30.709823554219863,0.9525705575942993,0.2171939074972764
structure_only,kligler,natiCPR04_11,docres_classical040_blend_0.90,29.79238786669058,0.9523207545280457,0.18878884699471477
structure_only,kligler,natiCPR05_03,docres_classical040_blend_0.85,28.6106493417886,0.9665518999099731,0.15423491223423957
